Taxpayer_Name,Taxpayer_PIN,Filing_Date,VAT_Paid,Sector,Region,Risk_Level
Lopez PLC,P66611162,2025-06-12,32331.91,Retail,Kisumu,Low
Gonzalez Ltd,P28684203,2025-11-11,11937.33,Retail,Eldort,Low
Lee PLC,P62457022,2025-09-30,29934.13,Retail,Nairobi,Low
"Evans, Fernandez and Powell",P39492443,2025-03-20,11713.26,Retail,Eldort,Low
Golden-Gonzales,P59278244,2025-03-03,36084.96,Agriculture,Mombasa,Medium
Smith-Hamilton,P70466547,2026-02-08,29874.02,Retail,Mombasa,High
Vincent Group,P64290342,2025-11-02,21708.11,Services,Mombasa,Low
Martin-Torres,P42401931,2025-09-04,47903.44,Services,Nairobi,Low
Diaz LLC,P88489701,2025-09-19,19616.44,Services,Kisumu,High
Atkins Group,P26075649,2025-07-04,13961.52,Retail,Nakuru,High
Franco-Hutchinson,P15740684,2026-02-04,7116.48,Agriculture,Nairobi,High
Ortega-Sutton,P83276238,2025-10-21,15365.74,Services,Eldort,Low
"Guerrero, Brown and Mitchell",P22666056,2025-12-09,35524.02,Retail,Mombasa,Medium
Taylor-Jones,P73327159,2025-08-28,49275.85,Manufacturing,Nairobi,Medium
Santiago-Wilkins,P56793990,2025-08-12,14620.71,Services,Mombasa,Medium
Roberson and Sons,P67409630,2025-03-06,18408.26,Services,Nairobi,High
"Dunn, Williams and Mitchell",P57745593,2026-02-19,32113.94,Manufacturing,Mombasa,Medium
Miller Group,P86555556,2025-03-16,19593.32,Manufacturing,Kisumu,Low
"Duran, Proctor and Huang",P65789101,2025-03-30,12223.36,Retail,Kisumu,Medium
"Henderson, Torres and Smith",P85525202,2025-07-02,14119.3,Manufacturing,Eldort,High
Hampton-Davis,P66800072,2025-10-27,16419.22,Agriculture,Nakuru,High
Arias-Daniels,P01618354,2025-09-19,23483.74,Services,Mombasa,Low
Reed PLC,P61525096,2025-07-17,37504.46,Services,Eldort,Medium
Morris PLC,P75168417,2025-07-26,44993.32,Agriculture,Kisumu,Low
Taylor-Allen,P58522245,2025-10-05,49868.96,Manufacturing,Eldort,Medium
King-Foster,P88239878,2026-01-23,5454.56,Retail,Nairobi,Low
Chang PLC,P56803176,2025-05-29,31744.86,Agriculture,Eldort,Low
Rodriguez-Myers,P19383496,2025-09-20,19853.6,Agriculture,Eldort,Medium
Moore LLC,P72951117,2025-04-22,48582.84,Retail,Nairobi,High
Johnson and Sons,P50069543,2025-03-04,44354.63,Services,Kisumu,Low
"Robinson, Mckay and Jefferson",P64700466,2025-12-15,15381.51,Manufacturing,Nakuru,Low
"Jones, Mendoza and Guzman",P20454447,2025-04-01,47736.98,Services,Eldort,Low
"Ross, Huff and Neal",P59743030,2025-07-06,25876.4,Retail,Kisumu,High
"Garcia, Harris and Cole",P85602116,2025-09-27,25875.48,Manufacturing,Mombasa,Medium
Brown-White,P17060892,2025-03-16,38363.03,Retail,Eldort,Medium
"Campbell, Miles and Walters",P01206753,2025-09-25,24941.68,Retail,Kisumu,Medium
Fry-Trujillo,P36142716,2025-10-04,12733.16,Manufacturing,Eldort,Low
Williams and Sons,P12924026,2025-04-24,5197.02,Agriculture,Nairobi,High
Griffith and Sons,P25676103,2025-08-14,38525.89,Manufacturing,Nakuru,High
Moreno and Sons,P52909694,2025-04-15,9091.22,Agriculture,Mombasa,High
Olson Group,P76964812,2025-05-17,38007.99,Manufacturing,Kisumu,Medium
"Jones, Brooks and Howell",P54617798,2026-01-21,49762.32,Services,Nakuru,High
Gregory and Sons,P96403490,2025-10-02,23122.82,Manufacturing,Mombasa,Low
Reynolds-Pratt,P28784596,2025-12-27,17566.19,Manufacturing,Eldort,Low
"Houston, Alvarez and Sanchez",P94621175,2025-08-17,1352.35,Retail,Mombasa,Low
"Wilson, Wright and Williams",P72353815,2025-10-03,45365.58,Services,Nairobi,High
Mitchell and Sons,P22091894,2025-05-20,12662.23,Agriculture,Mombasa,High
"Glass, Wallace and Booth",P18417709,2026-01-25,7483.28,Agriculture,Mombasa,Medium
Hall and Sons,P26748690,2025-05-06,40567.35,Manufacturing,Nairobi,Low
"Campbell, Shea and Smith",P01424536,2025-03-31,33290.15,Services,Nakuru,Medium
Mitchell Inc,P85014696,2025-06-03,23884.21,Retail,Nairobi,Low
"Owens, Hill and Williams",P78084045,2025-04-11,20728.44,Services,Nairobi,Low
Watts-Lee,P30702071,2025-07-16,10387.91,Agriculture,Mombasa,Medium
Morton-Davis,P37505050,2025-06-17,9990.91,Agriculture,Mombasa,Low
Harvey-Hawkins,P21795146,2025-08-09,22713.41,Retail,Nairobi,High
"Nichols, Rodriguez and Jones",P19670400,2025-07-08,49964.84,Retail,Nairobi,Low
Hatfield PLC,P25400852,2026-02-26,9149.24,Agriculture,Nakuru,Low
"Mejia, Gibson and Tyler",P44672118,2025-07-23,43367.87,Retail,Mombasa,Medium
